0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,GasterBlaster,1,191,306,191,306,0,1.2,0.26666
0,GasterBlaster,1,321,166,321,166,90,1.2,0.26666
0,GasterBlaster,1,449,306,449,306,180,1.2,0.26666
0,GasterBlaster,1,321,446,321,446,270,1.2,0.26666
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
1.6,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,HeartTeleport,149,376,,,,,,
0,BoneVRepeat,440,331,55,2,300,17,15,
0,BoneVRepeat,764,276,85,2,300,1,1,
1.8,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,382,304,,,,,,
0,SineBones,16,-20,300,55,,,,
1.7,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,276,406,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneVRepeat,200,282,70,0,150,4,85,
0,BoneVRepeat,200,371,15,0,150,4,85,
0,BoneVRepeat,440,282,70,2,150,4,85,
0,BoneVRepeat,440,371,15,2,150,4,85,
3,EndAttack,,,,,,,,
