0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,BoneV,508,321,100,2,200,,,
0,BoneV,133,321,100,0,200,,,
1,sansbody,handup,,,,,,,
0,sansslam,3,,,,,,,
0,GasterBlaster,1,640,276,93,276,0,0,0.233
0,GasterBlaster,1,0,276,600,276,180,0,0.233
0.4,SansAnimation,Idle,,,,,,,
0.4,CombatZoneResize,241,226,406,391,TLResume,,,
0,sound,ding,,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,BoneHRepeat,130,-10,200,1,300,7,183,
0,BoneHRepeat,330,650,200,3,300,7,183,
5.3,sansbody,handleft,,,,,,,
0,sansslam,2,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handright,,,,,,,
0,sansslam,0,,,,,,,
0,GasterBlaster,1,640,480,379,446,270,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handdown,,,,,,,
0,sansslam,1,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handup,,,,,,,
0,sansslam,3,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0,HeartMode,0,,,,,,,
0,sound,ding,,,,,,,
0.8,SineBones,20,-24,360,25,,,,
0,SineBones,20,24,360,25,,,,
2.4,EndAttack,,,,,,,,
