0,CombatZoneResize,241,226,406,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,0,,,,,,
1,BoneVRepeat,241,226,20,0,150,50,100
0,BoneVRepeat,406,371,20,2,150,50,100
0,BonehRepeat,241,226,20,1,150,50,100
0,BonehRepeat,386,391,20,3,150,50,100
1,SET,Loop,5,,,,,
0,SUB,Loop,$Loop,1,,,,
0,rnd,sb,4,,,,,
0,jmpe,21,$sb,1,,,,
0,jmpe,27,$sb,2,,,,
0,jmpe,33,$sb,3,,,,
0,TIP,0,,,,,,
0.4,SansSlam,0,,,,,,
0,sansbody,handright,,,,,,
0.4,SansAnimation,Idle,,,,,,
,,,,,,,,
,,,,,,,,
0,jmpabs,39,,,,,,
0,TIP,2,,,,,,
0.4,SansSlam,2,,,,,,
0,sansbody,handleft,,,,,,
0.4,SansAnimation,Idle,,,,,,
,,,,,,,,
0,jmpabs,39,,,,,,
0,TIP,3,,,,,,
0.4,SansSlam,3,,,,,,
0,sansbody,handup,,,,,,
0.4,SansAnimation,Idle,,,,,,
,,,,,,,,
0,jmpabs,39,,,,,,
0,TIP,1,,,,,,
0.4,SansSlam,1,,,,,,
0,sansbody,handdown,,,,,,
0.4,SansAnimation,Idle,,,,,,
,,,,,,,,
0,jmpabs,39,,,,,,
,,,,,,,,
1.2,JMPNZ,9,$Loop,,,,,
0,EndAttack,,,,,,,
