0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneV,586,321,100,2,200,,
0.4,BoneVRepeat,508,356,40,2,120,42,15
0,Platform,640,346,51,2,120,,
0,BoneV,666.5,336,100,2,120,,
0,BoneV,666.5,251,40,2,120,,
1.5,BoneV,666.5,336,100,2,120,,
0,Platform,640,346,51,2,120,,
0,BoneV,666.5,251,40,2,120,,
0,BoneV,33,251,170,0,125,2,
0,BoneV,666.5,336,100,2,120,,
1.5,Platform,640,306,51,2,120,,
0,BoneV,666.5,316,100,2,120,,
,,,,,,,,
2.5,BoneV,508,251,100,2,120,,
1.5,BoneV,508,346,100,2,250,,
0,sound,flash,,,,,,
0.45,BoneV,508,346,100,2,250,,
0,sound,flash,,,,,,
0.45,BoneV,508,346,100,2,250,,
0,sound,flash,,,,,,
0.45,BoneV,508,346,100,2,250,,
0,sound,flash,,,,,,
2,EndAttack,,,,,,,
